電腦編號,ip,學生證號,卡號,開始時間,離開時間,時數
51T,140.119.161.51,102401043,00B078AE48,01-Jan-15 10:07:22,01-Jan-15 12:19:05,   2小時12分鐘
54T,140.119.161.54,102401022,00C0B56231,01-Jan-15 13:04:49,01-Jan-15 17:20:33,   4小時15分鐘
51T,140.119.161.51,102401043,00B078AE48,01-Jan-15 13:19:40,01-Jan-15 17:20:30,   4小時00分鐘
45T,140.119.161.45,102401060,00001C9264,01-Jan-15 15:02:56,01-Jan-15 17:20:27,   2小時17分鐘
50T,140.119.161.50,102401028,0090249264,01-Jan-15 15:07:18,01-Jan-15 17:20:31,   2小時13分鐘
47T,140.119.161.47,103703051,00B614B20B,01-Jan-15 15:09:05,01-Jan-15 17:20:32,   2小時11分鐘
46T,140.119.161.46,102401080,003656660C,01-Jan-15 16:33:36,01-Jan-15 17:20:28,   0小時46分鐘
46T,140.119.161.46,102401080,003656660C,01-Jan-15 17:20:46,01-Jan-15 17:42:39,   0小時21分鐘
54T,140.119.161.54,CC0421,0082165660,01-Jan-15 17:22:34,01-Jan-15 17:42:23,   0小時19分鐘
56T,140.119.161.56,102401018,0090645435,01-Jan-15 17:25:21,01-Jan-15 17:42:41,   0小時17分鐘
55T,140.119.161.55,101208049,0000216C3E,01-Jan-15 17:44:00,01-Jan-15 17:49:16,   0小時05分鐘
06V,140.119.72.51,101303026,0000579C48,02-Jan-15 08:32:38,02-Jan-15 09:02:05,   0小時29分鐘
10V,140.119.72.54,101402019,0076A0250D,02-Jan-15 09:37:35,02-Jan-15 09:38:02,   0小時00分鐘
07V,140.119.72.53,101402019,0076A0250D,02-Jan-15 09:38:33,02-Jan-15 09:41:15,   0小時03分鐘
14W,140.119.49.,101204026,00E0B66E3E,02-Jan-15 09:46:16,02-Jan-15 09:55:45,   0小時09分鐘
02V,140.119.72.60,101306081,00600E4A35,02-Jan-15 10:03:10,02-Jan-15 11:57:09,   1小時54分鐘
04W,140.119.49.39,98257502,00BC68D161,02-Jan-15 10:18:09,02-Jan-15 10:36:03,   0小時18分鐘
09W,140.119.49.32,100204002,0070C16F77,02-Jan-15 11:01:44,02-Jan-15 11:39:09,   0小時37分鐘
11V,140.119.72.55,103303092,00F628240D,02-Jan-15 11:04:53,02-Jan-15 11:46:14,   0小時41分鐘
07W,140.119.49.34,99206052,006C23B8E4,02-Jan-15 11:26:27,02-Jan-15 11:41:29,   0小時15分鐘
12W,140.119.49.155,102103007,00F046543E,02-Jan-15 12:11:34,02-Jan-15 12:33:13,   0小時21分鐘
12V,140.119.72.57,100601132,00DB54C7B3,02-Jan-15 12:12:18,02-Jan-15 12:14:33,   0小時02分鐘
06V,140.119.72.51,100601132,00DB54C7B3,02-Jan-15 12:14:37,02-Jan-15 12:25:29,   0小時10分鐘
13W,140.119.49.126,101207324,0080206C3E,02-Jan-15 12:20:49,02-Jan-15 12:44:58,   0小時24分鐘
07W,140.119.49.34,102103007,00F046543E,02-Jan-15 12:33:18,02-Jan-15 12:53:06,   0小時19分鐘
13V,140.119.72.72,101352001,00FB4F19BE,02-Jan-15 12:47:27,02-Jan-15 13:24:10,   0小時36分鐘
07V,140.119.72.53,101303101,0030C55435,02-Jan-15 13:05:13,02-Jan-15 13:55:21,   0小時50分鐘
04W,140.119.49.39,99101073,0026D0B20B,02-Jan-15 13:33:34,02-Jan-15 14:02:57,   0小時29分鐘
09W,140.119.49.32,98257502,00BC68D161,02-Jan-15 13:39:56,02-Jan-15 14:25:46,   0小時45分鐘
05W,140.119.49.36,103263005,00E629230D,02-Jan-15 13:47:35,02-Jan-15 15:42:23,   1小時54分鐘
07V,140.119.72.53,101303101,0030C55435,02-Jan-15 13:56:03,02-Jan-15 19:02:21,   5小時06分鐘
04W,140.119.49.39,102263010,00B0CAEC77,02-Jan-15 14:10:02,02-Jan-15 14:20:12,   0小時10分鐘
02W,140.119.49.37,100101004,0080276231,02-Jan-15 14:10:08,02-Jan-15 14:14:55,   0小時04分鐘
02V,140.119.72.60,102352022,0030FDE077,02-Jan-15 14:14:09,02-Jan-15 14:32:57,   0小時18分鐘
07W,140.119.49.34,100101004,0080276231,02-Jan-15 14:14:59,02-Jan-15 14:27:56,   0小時13分鐘
11V,140.119.72.55,100307010,007BEEC6B3,02-Jan-15 14:17:33,02-Jan-15 19:11:27,   4小時54分鐘
09W,140.119.49.32,101601046,00F0B14535,02-Jan-15 14:30:59,02-Jan-15 15:10:44,   0小時39分鐘
02W,140.119.49.37,99206052,006C23B8E4,02-Jan-15 15:14:40,02-Jan-15 15:24:20,   0小時09分鐘
10V,140.119.72.54,101352001,00FB4F19BE,02-Jan-15 15:20:47,02-Jan-15 15:21:09,   0小時00分鐘
13W,140.119.49.126,101502007,00A6D0220D,02-Jan-15 15:21:01,02-Jan-15 15:28:40,   0小時07分鐘
10V,140.119.72.54,101352001,00FB4F19BE,02-Jan-15 15:21:52,02-Jan-15 15:22:18,   0小時00分鐘
13V,140.119.72.72,101352001,00FB4F19BE,02-Jan-15 15:22:44,02-Jan-15 16:14:17,   0小時51分鐘
08V,140.119.72.56,100302046,000E429BDD,02-Jan-15 15:23:29,02-Jan-15 16:48:30,   1小時25分鐘
09V,140.119.72.52,102303055,0000BC4D79,02-Jan-15 15:27:06,02-Jan-15 15:30:20,   0小時03分鐘
14V,140.119.72.49,102303055,0000BC4D79,02-Jan-15 15:30:30,02-Jan-15 15:47:35,   0小時16分鐘
10V,140.119.72.54,102305031,00E0519C48,02-Jan-15 15:31:52,02-Jan-15 15:32:07,   0小時00分鐘
12V,140.119.72.57,102351037,00100BE277,02-Jan-15 15:32:34,02-Jan-15 15:45:28,   0小時13分鐘
04W,140.119.49.39,101304043,0000DF5335,02-Jan-15 15:36:00,02-Jan-15 17:45:01,   2小時09分鐘
02V,140.119.72.60,102352022,0030FDE077,02-Jan-15 15:41:29,02-Jan-15 16:31:57,   0小時50分鐘
10V,140.119.72.54,101305106,00B06D9F48,02-Jan-15 15:49:06,02-Jan-15 16:01:57,   0小時12分鐘
09V,140.119.72.52,102305031,00E0519C48,02-Jan-15 15:49:14,02-Jan-15 15:57:55,   0小時08分鐘
10V,140.119.72.54,101305106,00B06D9F48,02-Jan-15 16:06:00,02-Jan-15 16:22:50,   0小時16分鐘
02W,140.119.49.37,103981006,00903CE277,02-Jan-15 16:10:56,02-Jan-15 17:05:17,   0小時54分鐘
07W,140.119.49.34,100601125,00BB0CC8B3,02-Jan-15 16:11:15,02-Jan-15 16:31:24,   0小時20分鐘
14W,140.119.49.,102601070,0080F46E77,02-Jan-15 16:26:00,02-Jan-15 16:27:19,   0小時01分鐘
